SU3,SU2,U1,lowest_dim,d3_ex,d4_ex,d5_ex,d6_ex,d7_ex,d8_ex,d9_ex,LP(mQ=1e17),E_num,E_den,N_num,N_den,LP(mQ=5e11),Nmax(mQ=5e11),Nmax(mQ=1e17),log10(mQmin (GeV))
3,1,-2,3,d*QLd,d*p*QRd,d*G*QLd,d*e*ed*QRd,dd^2*e*p*QRd,dd^2*e*p^2*QLd,dd^2*e*p^3*QRd,1.980354122442602e+39,1,3,1,2,9.340728937763314e+38,28,182,< 3
3,1,4,3,u*QLd,u*p*QRd,u*G*QLd,d*ld^2*QLd,d*ld^2*p*QRd,d*ld^2*p^2*QLd,2*dd^2*l^2*ed*QRd,6.847914203479361e+35,4,3,1,2,5.422788973654095e+34,13,87,< 3
3,2,1,3,q*QRd,q*p*QLd,q*G*QRd,dd^2*l*QRd,dd^2*l*p*QLd,dd^2*l*p^2*QRd,dd^2*l*p^3*QLd,9.732304928794173e+39,5,3,1,1,6.526273948759588e+39,9,59,< 3
3,2,-5,4,,hd*d*QLd,hd^2*q*QRd,2*d*ld*e*QLd,d*ld*e*p*QRd,3*d*ld*e*p^2*QLd,dd^2*l^3*QRd,1.09005039365351e+30,17,3,1,1,4.348136847693364e+27,4,27,4
3,2,7,4,,h*u*QLd,h^2*q*QRd,d*ld*ed*QRd,dd^2*ld*p*QRd,dd^2*ld*p^2*QLd,dd^2*ld*p^3*QRd,1.0687318756791856e+26,29,3,1,1,5.580745068431861e+22,2,13,11
3,3,-2,4,,hd*q*QRd,d*W*QLd,d*l*ld*QRd,3*d*W*G*QLd,dd^2*e*W*QLd,4*dd^2*e*W*p*QRd,6.151684317380476e+36,7,1,3,2,5.12002652584207e+30,2,14,10
3,3,4,4,,h*q*QRd,u*W*QLd,d*ld^2*QLd,3*u*W*G*QLd,2*d*ld^2*p^2*QLd,dd^2*l^2*ed*QRd,1.730951038954054e+30,10,1,3,2,6.590956415503456e+27,2,14,10
3,3,-8,5,,,hd^2*d*QLd,d*l^2*QLd,qd*ud*l*p*QRd,d*l^2*p^2*QLd,d*ld^2*e^2*QLd,3.980006857856517e+22,22,1,3,2,3.5024423141508234e+18,1,7,14
3,3,10,5,,,h^2*u*QLd,u*ld^2*QLd,q*ld*ed*p*QRd,2*dd^2*ed*W*QRd,4*dd^2*ed*W*p*QLd,7.373170541660753e+20,31,1,3,2,2.7331365035158736e+16,1,4,15
3,4,-5,5,,,hd^2*q*QRd,q*l^2*QRd,qd^2*l*p*QLd,3*d*ld*e*W*QLd,7*d*ld*e*W*p*QRd,2.8515662831340356e+23,70,3,2,1,1.6547396345399018e+17,1,5,15
3,4,1,5,,,q*W*QRd,qd^2*ld*QLd,qd^2*ld*p*QRd,2*dd^2*l*W*QRd,4*dd^2*l*W*p*QLd,3.063314332891873e+23,46,3,2,1,1.7204739658381392e+17,1,5,15
3,4,7,5,,,h^2*q*QRd,q*ld^2*QRd,hd*u*ld^2*QLd,dd^2*ld*W*QLd,4*dd^2*ld*W*p*QRd,2.7471716791878815e+22,94,3,2,1,1.5384232026632275e+17,1,5,15
6,1,-4,5,,,ud*G*QRd,ud*d*dd*QLd,4*ud*G^2*QRd,2*dd*l^2*G*QRd,4*dd*l^2*G*p*QLd,3.63933736120754e+32,8,3,5,2,5.081567221083908e+30,5,35,< 3
6,1,2,5,,,dd*G*QRd,d^2*ed*QRd,4*dd*G^2*QRd,7*dd*G^2*p*QLd,10*dd*G^2*p^2*QRd,9.86332371464659e+37,2,3,5,2,2.298751808743081e+37,5,35,< 3
6,2,-1,5,,,qd*G*QLd,d^2*ld*QLd,u*d*l*p*QLd,2*dd*ld*e*G*QRd,7*dd*ld*e*G*p*QLd,1.7641410463977387e+39,10,3,5,1,7.319882428068694e+38,2,17,9
8,1,-6,5,,,e*G*QLd,d*dd*e*QRd,3*e*G^2*QLd,4*e*G^2*p*QRd,7*e*G^2*p^2*QLd,1.4358908317245863e+26,8,1,3,1,7.583272248121247e+22,2,14,10
8,1,6,5,,,ed*G*QRd,dd^3*QRd,3*ed*G^2*QRd,4*ed*G^2*p*QLd,7*ed*G^2*p^2*QRd,1.4358908317245863e+26,8,1,3,1,7.583272248121247e+22,2,14,10
8,2,-3,5,,,l*G*QRd,d*dd*l*QLd,3*l*G^2*QRd,4*l*G^2*p*QLd,7*l*G^2*p^2*QRd,1.797452670984842e+30,8,1,6,1,6.724818009697235e+27,2,14,10
8,2,3,5,,,ld*G*QLd,d*dd*ld*QRd,3*ld*G^2*QLd,4*ld*G^2*p*QRd,7*ld*G^2*p^2*QLd,1.797452670984842e+30,8,1,6,1,6.724818009697235e+27,2,14,10
